Date,AirTemp,Tdew,Tground,RH,AP,u,Rad,Rad_MJm2d,Sunshine,PET,Precipitation,Discharge
14/06/201410:00,2.72,-2.45,4.44,68.93,1006.3,7.93,574.04,49.597056,1,0.161075175,0,131
14/06/201411:00,3.23,-2.56,4.76,65.58,1006.13,4.13,452.22,39.071808,0.9,0.161075175,0,138.6666667
14/06/201412:00,3.42,-2.55,5.2,65,1005.66,5.15,441.68,38.161152,0.9,0.161075175,0,145.3333333
14/06/201413:00,3.21,-1.97,5.55,68.86,1005.08,6.75,453.41,39.174624,0.8,0.161075175,0,145
14/06/201414:00,2.98,-2.19,5.58,68.71,1005.08,3.15,282.19,24.381216,0.7,0.161075175,0,141.1666667
14/06/201415:00,2.49,-3.66,5.52,63.7,1005.01,7.63,325.55,28.12752,0.6,0.161075175,0,144
14/06/201416:00,1.79,-4.69,5.36,61.96,1004.78,6.7,290.41,25.091424,1,0.161075175,0,148.1666667
14/06/201417:00,1.55,-5.08,5.16,61.39,1004.75,9.63,286.54,24.757056,0.9,0.161075175,0,134
14/06/201418:00,1.24,-5.78,4.92,59.51,1004.57,8.13,268.83,23.226912,0.6,0.161075175,0,131.8333333
14/06/201419:00,0.63,-5.67,4.66,62.74,1004.53,6.18,171.85,14.84784,0,0.161075175,0,129.8333333
14/06/201420:00,0.51,-5.84,4.37,62.43,1005.12,5.65,153.71,13.280544,0.1,0.161075175,0,113.6666667
14/06/201421:00,0.49,-5.17,4.08,65.79,1005.49,8.48,135.26,11.686464,0.2,0.161075175,0,129.6666667
14/06/201422:00,0.53,-4.63,3.78,68.22,1005.57,4.7,132.99,11.490336,NaN,0.161075175,0,120.3333333
14/06/201423:00,0.67,-4.6,3.52,67.88,1005.35,4.93,107.17,9.259488,NaN,0.161075175,0,115.8333333
15/06/201400:00,0.39,-4.28,3.26,70.83,1005.05,3.83,71.63,6.188832,NaN,0.152485469,0,111.6666667
15/06/201401:00,0.28,-5.12,2.97,66.9,1005.11,4.38,97.96,8.463744,0.3,0.152485469,0,104
15/06/201402:00,0.7,-5.92,2.73,61.09,1004.96,5.13,194.55,16.80912,0.8,0.152485469,0,99
15/06/201403:00,0.63,-6.75,2.67,57.79,1004.77,4.33,124.08,10.720512,0.9,0.152485469,0,101.6666667
15/06/201404:00,0.96,-7.72,2.55,52.33,1004.75,1.9,200.89,17.356896,0.9,0.152485469,0,86.5
15/06/201405:00,1.39,-7.26,2.53,52.61,1005.15,2.2,431.07,37.244448,1,0.152485469,0,92.5
15/06/201406:00,1.34,-6.63,2.87,55.34,1005.39,3.65,351.96,30.409344,0.8,0.152485469,0,87.5
15/06/201407:00,0.84,-9.09,3.22,47.44,1005.52,6.13,439.91,38.008224,1,0.152485469,0,93.16666667
15/06/201408:00,0.78,-10.38,3.45,43.09,1006.35,2.73,501.97,43.370208,1,0.152485469,0,90
15/06/201409:00,0.8,-10.31,3.75,43.27,1006.9,5.83,596.25,51.516,1,0.152485469,0,91.33333333
15/06/201410:00,0.98,-9.96,4.11,43.75,1007.49,3.25,647.65,55.95696,1,0.152485469,0,93.83333333
15/06/201411:00,1.01,-9.78,4.55,44.56,1007.97,4.38,417.59,36.079776,1,0.152485469,0,88.66666667
15/06/201412:00,1.19,-9.49,4.98,44.97,1008.4,3.73,632.33,54.633312,1,0.152485469,0,78
15/06/201413:00,1.35,-8.89,5.35,46.45,1008.9,4.1,592.37,51.180768,1,0.152485469,0,96.83333333
15/06/201414:00,1.16,-8.34,5.6,49.19,1009.48,4.28,463.16,40.017024,1,0.152485469,0,103.3333333
15/06/201415:00,1.24,-8.87,5.73,46.7,1009.93,4.58,522.91,45.179424,1,0.152485469,0,101.5
15/06/201416:00,1.31,-9.47,5.81,44.31,1010.65,2.5,453.76,39.204864,1,0.152485469,0,103
15/06/201417:00,1.32,-9.7,5.87,43.53,1011,2.3,380.85,32.90544,1,0.152485469,0,106
15/06/201418:00,1.49,-9.67,5.88,43.17,1011.16,1.75,318.85,27.54864,1,0.152485469,0,105.5
15/06/201419:00,1.63,-8.5,5.82,46.96,1011.4,2.7,263.15,22.73616,1,0.152485469,0,104.8333333
15/06/201420:00,1.84,-7.64,5.67,49.41,1011.59,2.75,219.16,18.935424,1,0.152485469,0,97.83333333
15/06/201421:00,1.91,-7.35,5.42,50.18,1012.23,2.53,163.26,14.105664,1,0.152485469,0,91.5
15/06/201422:00,1.62,-6.72,5.08,53.83,1012.65,3.3,66.9,5.78016,0.1,0.152485469,0,91.16666667
15/06/201423:00,1.79,-6.66,4.63,53.53,1013.13,1.6,59.41,5.133024,NaN,0.152485469,0,95.16666667
16/06/201400:00,1.84,-6.14,4.18,55.59,1013.58,2.1,88.42,7.639488,NaN,0.129973762,0,90
16/06/201401:00,2.19,-5.84,3.88,55.4,1013.87,4.68,68.52,5.920128,0.2,0.129973762,0,85.5
16/06/201402:00,2.65,-5.78,3.66,53.67,1014.18,1.55,133.38,11.524032,0.7,0.129973762,0,85
16/06/201403:00,2.69,-5.53,3.56,54.56,1014.68,1.15,102.64,8.868096,0.2,0.129973762,0,74
16/06/201404:00,2.96,-5.05,3.54,55.83,1014.86,2,160.18,13.839552,0.4,0.129973762,0,70.83333333
16/06/201405:00,2.83,-3.91,3.6,61.7,1015.07,2.38,183.03,15.813792,0.3,0.129973762,0,70.16666667
16/06/201406:00,3.09,-2.77,3.7,65.38,1015.09,1.75,386.3,33.37632,1,0.129973762,0,69
16/06/201407:00,3.99,-3.51,3.99,58.22,1015.03,1.52,475.1,41.04864,1,0.129973762,0,71
16/06/201408:00,4.43,-3.43,4.52,56.75,1015.05,1.35,555.41,47.987424,1,0.129973762,0,79.83333333
16/06/201409:00,4.45,-3.75,5.17,55.32,1014.94,1.58,633.32,54.718848,1,0.129973762,0,84.66666667
16/06/201410:00,4.07,-4.71,5.95,52.66,1014.83,1.9,597.43,51.617952,1,0.129973762,0,96.16666667
16/06/201411:00,3.5,-3.81,6.64,59.36,1014.58,3.73,449.7,38.85408,1,0.129973762,0,91.66666667
16/06/201412:00,3.5,-3.33,7.13,61.03,1014.3,2.75,635.84,54.936576,1,0.129973762,0,113.8333333
